state,code,rate
Alabama ,AL,3.5
Alaska,AK,5.6
Arizona ,AZ,5.5
California,CA,5.3
Connecticut ,CO,3.7
Delaware,DE,5.1
Georgia,GA,4.2
Hawaii ,HI,2.6
Idaho ,ID,2.6
Indiana,IN,3.2
Iowa,IA,3.7
Kansas ,KS,3.1
Kentucky ,KY,5.8
Louisiana,LA,6.9
Maine ,ME,3.2
Maryland ,MD,3.3
Massachusetts ,MA,6.9
Minnesota,MN,3.1
Mississippi ,MS,5.3
Montana,MT,3.5
Nevada,NV,6.3
Nebraska,NE,4.2
North Carolina,NC,4.4
New York,NY,4.5
New Hampshire ,NH,2.6
New Jersey ,NJ,3.8
New Mexico,NM,5.9
North Dakota,ND,2.2
Ohio,OH,5.5
Oklahoma,OK,3.1
Oregon ,OR,3.3
Pennsylvania,PA,6
South Carolina,SC,2.6
South Dakota,SD,3.3
Tennessee,TN,3.5
Utah,UT,3.6
Vermont,VT,3.2
Virginia,VA,3.2
Washington,WA,3.3
West Virginia,WV,6.1
Wisconsin,WI,3.4
Wyoming,WY,3.7
rhode island,RI,4.6
Texas,TX,4.7
Connecticut ,CT,3.7
Florida,FL,4.3
Michigan,MI,4.1
New Jersey ,NJ,3.8
Missouri,MO,4.5
Illinois,IL,4.6